# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000    200.0000      0.0000      1.0000      0.0000   1768.5003     19.4842      1.2788      1.2787   1308.6195    176.6067    201.8865      1.3235      1.5129      1.0000 
     2.0000    225.0000      0.0000      1.0000      0.0000   1768.5266     19.4844      1.2788      1.2787   1308.6227    179.5502    203.9380      1.3455      1.5283      1.0000 
     2.0000    250.0000      0.0000      1.0000      0.0000   1768.5513     19.4845      1.2788      1.2787   1308.6265    182.1056    205.7706      1.3647      1.5420      1.0000 
     2.0000    275.0000      0.0000      1.0000      0.0000   1768.5749     19.4847      1.2789      1.2787   1308.6309    184.3609    207.4238      1.3816      1.5544      1.0000 
     2.0000    300.0000      0.0000      1.0000      0.0000   1768.5977     19.4849      1.2789      1.2788   1308.6358    186.3773    208.9270      1.3967      1.5657      1.0000 
     2.0000    325.0000      0.0000      1.0000      0.0000   1768.6201     19.4850      1.2789      1.2788   1308.6413    188.1991    210.3032      1.4103      1.5760      1.0000 
     2.0000    350.0000      0.0000      1.0000      0.0000   1768.6421     19.4852      1.2789      1.2788   1308.6473    189.8593    211.5708      1.4228      1.5855      1.0000 
     2.0000    375.0000      0.0000      1.0000      0.0000   1768.6640     19.4854      1.2789      1.2788   1308.6538    191.3833    212.7447      1.4342      1.5942      1.0000 
     2.0000    400.0000      0.0000      1.0000      0.0000   1768.6858     19.4855      1.2790      1.2788   1308.6607    192.7910    213.8369      1.4447      1.6024      1.0000 
     2.0000    425.0000      0.0000      1.0000      0.0000   1768.7077     19.4857      1.2790      1.2788   1308.6682    194.0981    214.8576      1.4545      1.6101      1.0000 
     2.0000    450.0000      0.0000      1.0000      0.0000   1768.7297     19.4859      1.2790      1.2788   1308.6761    195.3176    215.8149      1.4636      1.6172      1.0000 
     2.0000    475.0000      0.0000      1.0000      0.0000   1768.7518     19.4861      1.2790      1.2788   1308.6845    196.4599    216.7160      1.4722      1.6240      1.0000 
     2.0000    500.0000      0.0000      1.0000      0.0000   1768.7741     19.4862      1.2790      1.2788   1308.6934    197.5339    217.5668      1.4802      1.6303      1.0000 
     2.0000    525.0000      0.0000      1.0000      0.0000   1768.7968     19.4864      1.2790      1.2788   1308.7028    198.5469    218.3724      1.4878      1.6364      1.0000 
     2.0000    550.0000      0.0000      1.0000      0.0000   1768.8197     19.4866      1.2790      1.2788   1308.7126    199.5053    219.1370      1.4950      1.6421      1.0000 
     2.0000    575.0000      0.0000      1.0000      0.0000   1768.8429     19.4868      1.2791      1.2788   1308.7228    200.4144    219.8772      1.5018      1.6476      1.0000 
     2.0000    600.0000      0.0000      1.0000      0.0000   1768.8664     19.4870      1.2791      1.2788   1308.7335    201.2796    220.5887      1.5082      1.6529      1.0000 
     2.0000    625.0000      0.0000      1.0000      0.0000   1768.8903     19.4872      1.2791      1.2788   1308.7447    202.1046    221.2682      1.5144      1.6580      1.0000 
     2.0000    650.0000      0.0000      1.0000      0.0000   1768.9146     19.4874      1.2791      1.2787   1308.7563    202.8929    221.9182      1.5203      1.6629      1.0000 
     2.0000    675.0000      0.0000      1.0000      0.0000   1768.9393     19.4876      1.2791      1.2787   1308.7683    203.6475    222.5413      1.5259      1.6675      1.0000 
     2.0000    700.0000      0.0000      1.0000      0.0000   1768.9644     19.4878      1.2791      1.2787   1308.7808    204.3710    223.1393      1.5313      1.6720      1.0000 
     2.0000    725.0000      0.0000      1.0000      0.0000   1768.9899     19.4881      1.2791      1.2787   1308.7936    205.0657    223.7142      1.5365      1.6763      1.0000 
     2.0000    750.0000      0.0000      1.0000      0.0000   1769.0158     19.4883      1.2791      1.2787   1308.8070    205.7337    224.2675      1.5415      1.6804      1.0000 
     2.2000    200.0000      0.0000      1.0000      0.0000   1951.9566     20.1856      1.2692      1.2691   1354.0459    182.7047    208.7267      1.3232      1.5117      1.0000 
     2.2000    225.0000      0.0000      1.0000      0.0000   1952.0185     20.1858      1.2693      1.2692   1354.0434    185.7085    210.6813      1.3450      1.5259      1.0000 
     2.2000    250.0000      0.0000      1.0000      0.0000   1952.0717     20.1860      1.2694      1.2693   1354.0413    188.2951    212.3938      1.3637      1.5383      1.0000 
     2.2000    275.0000      0.0000      1.0000      0.0000   1952.1183     20.1861      1.2695      1.2694   1354.0396    190.5593    213.9195      1.3801      1.5493      1.0000 
     2.2000    300.0000      0.0000      1.0000      0.0000   1952.1597     20.1862      1.2695      1.2694   1354.0382    192.5681    215.2983      1.3947      1.5593      1.0000 
