# Engine name: FYDPish lite
# Fri Apr 30 19:44:38 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.0000     50.0000      0.0000      1.0000      0.0000   1030.6860     17.6486      1.2368      1.1407   1095.8381    107.2599    148.0330      0.9599      1.3247      1.0000 
     1.0000    100.0000      0.0000      1.0000      0.0000   1068.5924     17.9007      1.2461      1.1446   1106.5736    132.9564    163.9329      1.1783      1.4528      1.0000 
     1.0000    150.0000      0.0000      1.0000      0.0000   1092.0287     18.0616      1.2511      1.1468   1112.8701    145.5112    172.8193      1.2822      1.5229      1.0000 
     1.0000    200.0000      0.0000      1.0000      0.0000   1109.2298     18.1820      1.2544      1.1484   1117.3368    153.6290    178.8344      1.3484      1.5696      1.0000 
     1.0000    250.0000      0.0000      1.0000      0.0000   1122.9001     18.2790      1.2567      1.1496   1120.7975    159.5468    183.3290      1.3960      1.6041      1.0000 
     1.0000    300.0000      0.0000      1.0000      0.0000   1134.2820     18.3607      1.2585      1.1505   1123.6208    164.1632    186.8913      1.4328      1.6311      1.0000 
     1.0000    350.0000      0.0000      1.0000      0.0000   1144.0536     18.4314      1.2599      1.1513   1126.0035    167.9256    189.8275      1.4625      1.6533      1.0000 
     1.0000    400.0000      0.0000      1.0000      0.0000   1152.6276     18.4939      1.2611      1.1520   1128.0638    171.0870    192.3157      1.4873      1.6719      1.0000 
     1.0000    450.0000      0.0000      1.0000      0.0000   1160.2741     18.5501      1.2620      1.1526   1129.8776    173.8043    194.4687      1.5085      1.6879      1.0000 
     1.0000    500.0000      0.0000      1.0000      0.0000   1167.1802     18.6011      1.2628      1.1531   1131.4971    176.1810    196.3620      1.5270      1.7019      1.0000 
     1.0000    550.0000      0.0000      1.0000      0.0000   1173.4809     18.6479      1.2635      1.1535   1132.9593    178.2887    198.0486      1.5432      1.7143      1.0000 
     1.0000    600.0000      0.0000      1.0000      0.0000   1179.2770     18.6911      1.2641      1.1540   1134.2918    180.1789    199.5669      1.5578      1.7254      1.0000 
     1.0000    650.0000      0.0000      1.0000      0.0000   1184.6457     18.7313      1.2646      1.1543   1135.5152    181.8899    200.9459      1.5709      1.7354      1.0000 
     1.0000    700.0000      0.0000      1.0000      0.0000   1189.6475     18.7689      1.2651      1.1547   1136.6459    183.4510    202.2076      1.5828      1.7446      1.0000 
     1.0000    750.0000      0.0000      1.0000      0.0000   1194.3309     18.8043      1.2655      1.1550   1137.6967    184.8848    203.3693      1.5937      1.7530      1.0000 
     1.0000    800.0000      0.0000      1.0000      0.0000   1198.7351     18.8377      1.2658      1.1552   1138.6780    186.2094    204.4450      1.6037      1.7607      1.0000 
     1.0000    850.0000      0.0000      1.0000      0.0000   1202.8926     18.8693      1.2661      1.1555   1139.5982    187.4392    205.4457      1.6130      1.7679      1.0000 
     1.0000    900.0000      0.0000      1.0000      0.0000   1206.8302     18.8993      1.2664      1.1558   1140.4643    188.5863    206.3808      1.6216      1.7746      1.0000 
     1.0000    950.0000      0.0000      1.0000      0.0000   1210.5707     18.9279      1.2667      1.1560   1141.2822    189.6603    207.2577      1.6297      1.7809      1.0000 
     1.0000   1000.0000      0.0000      1.0000      0.0000   1214.1334     18.9552      1.2669      1.1562   1142.0569    190.6694    208.0829      1.6372      1.7868      1.0000 
     1.2500     50.0000      0.0000      1.0000      0.0000   1072.9942     17.3809      1.2333      1.1534   1123.0437    110.0370    151.7259      0.9609      1.3249      1.0000 
     1.2500    100.0000      0.0000      1.0000      0.0000   1112.0675     17.6018      1.2439      1.1573   1134.7121    136.3776    168.0323      1.1786      1.4522      1.0000 
     1.2500    150.0000      0.0000      1.0000      0.0000   1136.3336     17.7444      1.2499      1.1596   1141.5837    149.2601    177.1693      1.2822      1.5220      1.0000 
     1.2500    200.0000      0.0000      1.0000      0.0000   1154.2000     17.8519      1.2540      1.1612   1146.4715    157.5973    183.3639      1.3481      1.5685      1.0000 
     1.2500    250.0000      0.0000      1.0000      0.0000   1168.9665     17.9374      1.2740      1.1860   1150.2563    163.6800    187.9986      1.3955      1.6028      1.0000 
     1.2500    300.0000      0.0000      1.0000      0.0000   1181.3688     18.0092      1.2764      1.1867   1153.3267    168.4289    191.6760      1.4321      1.6298      1.0000 
     1.2500    350.0000      0.0000      1.0000      0.0000   1192.0376     18.0716      1.2784      1.1874   1155.9042    172.3018    194.7099      1.4618      1.6519      1.0000 
     1.2500    400.0000      0.0000      1.0000      0.0000   1201.4149     18.1269      1.2800      1.1879   1158.1217    175.5582    197.2830      1.4866      1.6705      1.0000 
     1.2500    450.0000      0.0000      1.0000      0.0000   1209.7907     18.1766      1.2815      1.1884   1160.0647    178.3587    199.5111      1.5078      1.6866      1.0000 
     1.2500    500.0000      0.0000      1.0000      0.0000   1217.3660     18.2219      1.2827      1.1888   1161.7918    180.8094    201.4718      1.5262      1.7006      1.0000 
     1.2500    550.0000      0.0000      1.0000      0.0000   1224.2861     18.2636      1.2838      1.1892   1163.3448    182.9837    203.2194      1.5425      1.7131      1.0000 
     1.2500    600.0000      0.0000      1.0000      0.0000   1230.6595     18.3021      1.2848      1.1896   1164.7543    184.9345    204.7935      1.5571      1.7243      1.0000 
     1.2500    650.0000      0.0000      1.0000      0.0000   1236.5693     18.3381      1.2856      1.1899   1166.0439    186.7011    206.2239      1.5702      1.7344      1.0000 
     1.2500    700.0000      0.0000      1.0000      0.0000   1242.0810     18.3717      1.2864      1.1902   1167.2315    188.3135    207.5332      1.5821      1.7436      1.0000 
     1.2500    750.0000      0.0000      1.0000      0.0000   1247.2468     18.4035      1.2871      1.1905   1168.3316    189.7950    208.7393      1.5931      1.7521      1.0000 
     1.2500    800.0000      0.0000      1.0000      0.0000   1252.1091     18.4334      1.2878      1.1907   1169.3556    191.1641    209.8565      1.6032      1.7599      1.0000 
     1.2500    850.0000      0.0000      1.0000      0.0000   1256.7030     18.4619      1.2884      1.1910   1170.3131    192.4357    210.8963      1.6125      1.7672      1.0000 
     1.2500    900.0000      0.0000      1.0000      0.0000   1261.0574     18.4889      1.2890      1.1912   1171.2118    193.6221    211.8681      1.6212      1.7740      1.0000 
     1.2500    950.0000      0.0000      1.0000      0.0000   1265.1972     18.5147      1.2895      1.1914   1172.0582    194.7332    212.7799      1.6293      1.7803      1.0000 
     1.2500   1000.0000      0.0000      1.0000      0.0000   1269.1432     18.5394      1.2900      1.1916   1172.8579    195.7775    213.6381      1.6370      1.7863      1.0000 
     1.5000     50.0000      0.0000      1.0000      0.0000   1223.7917     17.5629      1.2931      1.2885   1153.0501    114.3238    156.1291      0.9723      1.3279      1.0000 
     1.5000    100.0000      0.0000      1.0000      0.0000   1235.9945     17.6281      1.2796      1.2666   1164.2082    140.3781    172.1567      1.1825      1.4502      1.0000 
     1.5000    150.0000      0.0000      1.0000      0.0000   1248.4620     17.6953      1.2734      1.2530   1171.3024    153.2475    181.3314      1.2831      1.5182      1.0000 
     1.5000    200.0000      0.0000      1.0000      0.0000   1259.8106     17.7569      1.2712      1.2446   1176.4504    161.6177    187.5764      1.3472      1.5636      1.0000 
     1.5000    250.0000      0.0000      1.0000      0.0000   1269.9514     17.8124      1.2708      1.2391   1180.4958    167.7429    192.2614      1.3935      1.5972      1.0000 
     1.5000    300.0000      0.0000      1.0000      0.0000   1279.0405     17.8625      1.2713      1.2354   1183.8289    172.5346    195.9862      1.4292      1.6235      1.0000 
     1.5000    350.0000      0.0000      1.0000      0.0000   1287.2509     17.9081      1.2721      1.2326   1186.6637    176.4484    199.0636      1.4582      1.6451      1.0000 
     1.5000    400.0000      0.0000      1.0000      0.0000   1294.7298     17.9499      1.2731      1.2305   1189.1303    179.7431    201.6771      1.4823      1.6632      1.0000 
     1.5000    450.0000      0.0000      1.0000      0.0000   1301.5950     17.9885      1.2742      1.2289   1191.3135    182.5794    203.9424      1.5030      1.6788      1.0000 
     1.5000    500.0000      0.0000      1.0000      0.0000   1307.9402     18.0243      1.2753      1.2276   1193.2717    185.0635    205.9376      1.5209      1.6925      1.0000 
     1.5000    550.0000      0.0000      1.0000      0.0000   1313.8398     18.0578      1.2763      1.2265   1195.0471    187.2691    207.7174      1.5367      1.7045      1.0000 
     1.5000    600.0000      0.0000      1.0000      0.0000   1319.3538     18.0893      1.2774      1.2256   1196.6707    189.2492    209.3216      1.5509      1.7154      1.0000 
     1.5000    650.0000      0.0000      1.0000      0.0000   1324.5310     18.1189      1.2784      1.2249   1198.1664    191.0434    210.7801      1.5636      1.7252      1.0000 
     1.5000    700.0000      0.0000      1.0000      0.0000   1329.4116     18.1470      1.2794      1.2243   1199.5528    192.6818    212.1160      1.5752      1.7341      1.0000 
     1.5000    750.0000      0.0000      1.0000      0.0000   1334.0289     18.1737      1.2803      1.2237   1200.8447    194.1878    213.3473      1.5858      1.7423      1.0000 
     1.5000    800.0000      0.0000      1.0000      0.0000   1338.4109     18.1991      1.2811      1.2232   1202.0541    195.5803    214.4882      1.5956      1.7498      1.0000 
     1.5000    850.0000      0.0000      1.0000      0.0000   1342.5814     18.2233      1.2820      1.2228   1203.1908    196.8740    215.5506      1.6046      1.7569      1.0000 
     1.5000    900.0000      0.0000      1.0000      0.0000   1346.5608     18.2465      1.2828      1.2224   1204.2630    198.0815    216.5440      1.6130      1.7634      1.0000 
     1.5000    950.0000      0.0000      1.0000      0.0000   1350.3665     18.2688      1.2835      1.2221   1205.2776    199.2127    217.4763      1.6209      1.7695      1.0000 
     1.5000   1000.0000      0.0000      1.0000      0.0000   1354.0137     18.2902      1.2843      1.2218   1206.2404    200.2763    218.3542      1.6282      1.7752      1.0000 
     1.7500     50.0000      0.0000      1.0000      0.0000   1511.4533     18.5447      1.2915      1.2914   1236.1043    122.7639    166.2786      0.9739      1.3192      1.0000 
     1.7500    100.0000      0.0000      1.0000      0.0000   1511.6016     18.5457      1.2915      1.2913   1236.2989    148.2886    179.7343      1.1763      1.4257      1.0000 
     1.7500    150.0000      0.0000      1.0000      0.0000   1511.8101     18.5472      1.2914      1.2911   1236.6091    160.3945    187.8932      1.2720      1.4900      1.0000 
     1.7500    200.0000      0.0000      1.0000      0.0000   1512.0819     18.5490      1.2913      1.2907   1237.0184    168.2298    193.5785      1.3337      1.5346      1.0000 
     1.7500    250.0000      0.0000      1.0000      0.0000   1512.4163     18.5512      1.2911      1.2903   1237.5289    173.9768    197.9907      1.3787      1.5690      1.0000 
     1.7500    300.0000      0.0000      1.0000      0.0000   1512.8116     18.5537      1.2910      1.2898   1238.1024    178.4995    201.5395      1.4138      1.5963      1.0000 
     1.7500    350.0000      0.0000      1.0000      0.0000   1513.2656     18.5566      1.2908      1.2892   1238.7301    182.2117    204.4825      1.4425      1.6188      1.0000 
     1.7500    400.0000      0.0000      1.0000      0.0000   1513.7756     18.5598      1.2905      1.2886   1239.3977    185.3497    206.9901      1.4666      1.6378      1.0000 
     1.7500    450.0000      0.0000      1.0000      0.0000   1514.3389     18.5634      1.2903      1.2879   1240.0927    188.0605    209.1700      1.4872      1.6541      1.0000 
     1.7500    500.0000      0.0000      1.0000      0.0000   1514.9524     18.5672      1.2900      1.2871   1240.8045    190.4421    211.0951      1.5052      1.6684      1.0000 
     1.7500    550.0000      0.0000      1.0000      0.0000   1515.6130     18.5713      1.2897      1.2864   1241.5248    192.5624    212.8164      1.5210      1.6810      1.0000 
     1.7500    600.0000      0.0000      1.0000      0.0000   1516.3174     18.5756      1.2894      1.2855   1242.2470    194.4706    214.3714      1.5352      1.6923      1.0000 
